,filename,genotype,two s static spot,strokelitude,high gain
0,2015_03_28_0000,c290 x 2xegfp,False,False,False
1,2015_03_28_0001,c290 x 2xegfp,False,False,False
2,2015_03_30_0000,c290 x 2xegfp,False,False,False
3,2015_03_30_0001,c290 x 2xegfp,False,False,False
4,2015_03_30_0002,c290 x 2xegfp,False,False,False
5,2015_03_30_0003,c290 x 2xegfp,False,False,False
6,2015_04_01_0000,c290 x 2xegfp,False,False,False
7,2015_04_01_0001,c290 x 2xegfp,False,False,False
8,2015_04_01_0002,c290 x 2xegfp,False,False,False
9,2015_04_01_0003,c290 x 2xegfp,False,False,False
10,2015_04_01_0004,c290 x 2xegfp,False,False,False
11,2015_04_01_0005,c290 x 2xegfp,False,False,False
12,2015_04_01_0006,c290 x 2xegfp,False,False,False
13,2015_04_02_0000,c290 x 2xegfp,False,False,False
14,2015_04_02_0001,c290 x 2xegfp,False,False,False
15,2015_04_02_0002,c290 x 2xegfp,False,False,False
16,2015_04_02_0003,c290 x 2xegfp,False,False,False
17,2015_04_02_0004,c290 x 2xegfp,False,False,False
18,2015_04_02_0005,c290 x 2xegfp,False,False,False
19,2015_04_02_0006,c290 x 2xegfp,False,False,False
20,2015_04_02_0007,c290 x 2xegfp,False,False,False
21,2015_04_02_0008,c290 x 2xegfp,False,False,False
22,2015_04_02_0009,c290 x 2xegfp,False,False,False
23,2015_04_09_0001,c290 x 2xegfp,False,False,False
24,2015_04_09_0002,c290 x 2xegfp,False,False,False
25,2015_04_10_0000,c290 x 2xegfp,False,False,False
26,2015_04_10_0001,c290 x 2xegfp,False,False,False
27,2015_04_10_0002,c290 x 2xegfp,False,False,False
28,2015_04_10_0003,c290 x 2xegfp,False,False,False
29,2015_04_10_0004,c290 x 2xegfp,False,False,False
30,2015_04_10_0005,c290 x 2xegfp,False,False,False
31,2015_04_10_0006,c290 x 2xegfp,False,False,False
32,2015_04_10_0007,c290 x 2xegfp,False,False,False
33,2015_04_10_0008,c290 x 2xegfp,False,False,False
34,2015_04_10_0009,c290 x 2xegfp,False,False,False
35,2015_04_15_0000,c290 x 2xegfp,True,False,False
36,2015_04_15_0001,c290 x 2xegfp,True,False,False
37,2015_04_15_0002,c290 x 2xegfp,True,False,False
38,2015_04_15_0003,c290 x 2xegfp,True,False,False
39,2015_04_15_0004,c290 x 2xegfp,True,False,False
40,2015_04_15_0005,c290 x 2xegfp,True,False,False
41,2015_04_16_0000,isoD1,True,False,False
42,2015_04_16_0001,isoD1,False,False,False
43,2015_04_16_0002,isoD1,False,False,False
44,2015_04_16_0003,isoD1,False,False,False
45,2015_04_16_0004,isoD1,False,False,False
46,2015_04_22_0000,c290 x 2xegfp,False,False,False
47,2015_04_22_0001,c290 x 2xegfp,False,False,False
48,2015_04_22_0002,c290 x 2xegfp,False,False,False
49,2015_04_22_0003,c290 x 2xegfp,False,False,False
50,2015_04_22_0004,c290 x 2xegfp,False,False,False
51,2015_04_22_0005,c290 x 2xegfp,False,False,False
52,2015_04_22_0006,c290 x 2xegfp,False,False,False
53,2015_04_22_0007,c290 x 2xegfp,False,False,False
54,2015_04_22_0008,c290 x 2xegfp,False,False,False
55,2015_04_22_0009,c290 x 2xegfp,False,False,False
56,2015_04_22_0010,c290 x 2xegfp,False,False,False
57,2015_04_22_0011,c290 x 2xegfp,False,False,False
58,2015_04_22_0012,c290 x 2xegfp,False,False,False
60,2015_04_22_0014,c290 x 2xegfp,False,False,False
61,2015_05_01_0000,c290 x 2xegfp,False,True,False
62,2015_05_01_0001,c290 x 2xegfp,False,True,False
63,2015_05_01_0002,c290 x 2xegfp,False,True,False
64,2015_05_01_0003,c290 x 2xegfp,False,True,False
65,2015_05_01_0004,c290 x 2xegfp,False,True,False
66,2015_05_04_0000,c290 x 2xegfp,False,True,False
67,2015_05_04_0001,c290 x 2xegfp,False,True,False
68,2015_05_04_0002,c290 x 2xegfp,False,True,False
69,2015_05_05_0003,"c290 x 2xegfp, NP background",False,False,False
70,2015_05_05_0004,"c290 x 2xegfp, NP background",False,False,False
71,2015_05_05_0005,"c290 x 2xegfp, NP background",False,False,False
72,2015_05_05_0006,"c290 x 2xegfp, NP background",False,False,False
73,2015_05_06_0006,"c290 x 2xegfp, NP background",False,False,False
74,2015_05_06_0007,"c290 x 2xegfp, NP background",False,False,False
75,2015_05_06_0008,"c290 x 2xegfp, NP background",False,False,False
76,2015_05_08_0000,"c290 x 2xegfp, NP background",False,False,False
77,2015_05_08_0001,"c290 x 2xegfp, NP background",False,False,False
78,2015_05_08_0002,"c290 x 2xegfp, NP background",False,False,False
79,2015_05_08_0003,"c290 x 2xegfp, NP background",False,False,False
80,2015_05_08_0004,"c290 x 2xegfp, NP background",False,False,False
81,2015_05_08_0005,"c290 x 2xegfp, NP background",False,False,False
82,2015_05_08_0006,"c290 x 2xegfp, NP background",False,False,False
83,2015_05_08_0007,"c290 x 2xegfp, NP background",False,False,False
84,2015_05_08_0008,"c290 x 2xegfp, NP background",False,False,False
85,2015_05_08_0009,"c290 x 2xegfp, NP background",False,False,False
86,2015_05_08_0010,"c290 x 2xegfp, NP background",False,False,False
87,2015_05_08_0011,"c290 x 2xegfp, NP background",False,False,False
89,2015_05_11_0003,"c290 x 2xegfp, NP background",False,False,False
90,2015_05_11_0004,"c290 x 2xegfp, NP background",False,False,False
91,2015_05_11_0005,"c290 x 2xegfp, NP background",False,False,False
92,2015_05_11_0006,"c290 x 2xegfp, NP background",False,False,False
93,2015_05_11_0007,"c290 x 2xegfp, NP background",False,False,False
94,2015_05_11_0008,"c290 x 2xegfp, NP background",False,False,False
95,2015_05_12_0014,"c290 x 2xegfp, NP background",False,False,False
96,2015_05_12_0015,"c290 x 2xegfp, NP background",False,False,False
97,2015_05_12_0016,"c290 x 2xegfp, NP background",False,False,False
98,2015_05_12_0017,"c290 x 2xegfp, NP background",False,False,False
99,2015_05_12_0018,"c290 x 2xegfp, NP background",False,False,False
100,2015_05_22_0014,"c290 x 2xegfp, NP background",False,False,True
101,2015_05_22_0015,"c290 x 2xegfp, NP background",False,False,True
102,2015_05_22_0016,"c290 x 2xegfp, NP background",False,False,True
103,2015_05_22_0017,"c290 x 2xegfp, NP background",False,False,True
104,2015_05_22_0018,"c290 x 2xegfp, NP background",False,False,True
105,2015_05_22_0019,"c290 x 2xegfp, NP background",False,False,True
106,2015_05_22_0020,"c290 x 2xegfp, NP background",False,False,True
107,2015_05_22_0021,"c290 x 2xegfp, NP background",False,False,True
108,2015_05_22_0022,"c290 x 2xegfp, NP background",False,False,True
109,2015_05_22_0023,"c290 x 2xegfp, NP background",False,False,True
110,2015_05_22_0024,"c290 x 2xegfp, NP background",False,False,True
111,2015_05_22_0025,"c290 x 2xegfp, NP background",False,False,True
112,2015_05_22_0026,"c290 x 2xegfp, NP background",False,False,True
